Head_Coach,Coach,weight,group,lrole
Ray Perkins,Bill Parcells,2,DC,DC
Ray Perkins,Marc Trestman,1,aOC,aOC
Ray Perkins,Richard Williamson,6,aOC,aOC
Ray Perkins,Romeo Crennel,4,aDC,aSTC
Ray Rhodes,Bill Callahan,3,aOC,aOC
Ray Rhodes,John Harbaugh,1,STC,STC
Ray Rhodes,Jon Gruden,3,OC,OC
Ray Rhodes,Mike McCarthy,1,aOC,aOC
Ray Rhodes,Sean Payton,2,aOC,aOC
Raymond Berry,Rod Rust,4,DC,DC
Red Miller,Bill Belichick,2,aDC,aSTC
Red Miller,Rod Dowhower,1,OC,OC
Rex Ryan,Anthony Lynn,12,aOC,OC
Rex Ryan,Mike Pettine,4,DC,DC
Rich Brooks,John Fox,1,aC,aC
Rich Brooks,Mike Martz,2,aOC,aOC
Rick Forzano,Bill Belichick,1,aSTC,aSTC
Rick Forzano,Jerry Glanville,3,aSTC,aSTC
Rick Forzano,Joe Bugel,2,aOC,aOC
Rick Forzano,Raymond Berry,2,aOC,aOC
Rick Venturi,Bruce Arians,1,aOC,aOC
Rick Venturi,Jim Haslett,1,DC,DC
Rod Dowhower,Brad Childress,1,aOC,aOC
Rod Dowhower,Rick Venturi,2,aDC,aDC
Rod Marinelli,Adam Gase,2,aOC,aOC
Romeo Crennel,Anthony Lynn,2,aOC,aOC
Romeo Crennel,Nick Sirianni,1,aOC,aOC
Romeo Crennel,Rob Chudzinski,2,OC,OC
Ron Erhardt,Bill Parcells,1,aDC,aDC
Ron Erhardt,Hank Bullough,1,DC,DC
Ron Erhardt,Raymond Berry,3,aOC,aOC
Ron Meyer,Jim Mora,2,aDC,DC
Ron Meyer,Rick Venturi,6,aDC,DC
Ron Meyer,Rod Rust,2,DC,DC
Ron Rivera,Rob Chudzinski,2,OC,OC
Ron Rivera,Sean McDermott,6,DC,DC
Ron Rivera,Steve Wilks,9,aDC,DC
Ron Waller,Forrest Gregg,1,aOC,aOC
Sam Rutigliano,Dick MacPherson,3,aDC,aDC
Sam Rutigliano,Marty Schottenheimer,5,DC,DC
Sam Rutigliano,Rich Kotite,5,aOC,aOC
Sam Wyche,Bruce Coslet,6,OC,OC
Sam Wyche,David Culley,2,aOC,aOC
Sam Wyche,David Shula,1,aOC,aOC
Sam Wyche,Dick LeBeau,8,DC,DC
