"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Chuck Fairbanks","Hank Bullough",8,"aDC",5,"DC",46,48.26,85,"NE","NE",1973,1978,1973,1978,6,1.33333333333333,1,1,2,0,2,1
"Chuck Fairbanks","Ray Perkins",4,"aOC",4,"aOC",46,48.26,85,"NE","NE",1973,1978,1974,1977,4,1,1,1,1,0,1,0
"Chuck Fairbanks","Raymond Berry",1,"aOC",1,"aOC",46,48.26,85,"NE","NE",1973,1978,1978,1978,1,1,1,1,1,0,1,0
"Chuck Fairbanks","Red Miller",4,"aOC",4,"aOC",46,48.26,85,"NE","NE",1973,1978,1973,1976,4,1,1,1,1,0,1,0
"Chuck Fairbanks","Ron Erhardt",6,"aOC",4,"OC",46,48.26,85,"NE","NE",1973,1978,1973,1978,6,1,1,1,1,0,1,1
"Chuck Fairbanks","Sam Rutigliano",1,"aOC",1,"aOC",46,48.26,85,"NE","NE",1973,1978,1973,1973,1,1,1,1,1,0,1,0
"Chuck Knox","Dick Vermeil",2,"aOC",1,"aSTC",186,189.31,334,"LA","LA",1973,1994,1973,1973,1,2,1,1,1,0,3,0
"Chuck Knox","Kay Stephenson",6,"aOC",6,"aOC",186,189.31,334,"LA","LA",1973,1994,1977,1982,6,1,1,1,1,0,1,0
"Chuck Knox","Ken Meyer",4,"OC",4,"OC",186,189.31,334,"LA","LA",1973,1994,1973,1976,4,1,1,1,1,1,1,1
"Chuck Knox","Leeman Bennett",4,"aOC",4,"aOC",186,189.31,334,"LA","LA",1973,1994,1973,1976,4,1,1,1,1,0,1,0
"Chuck Knox","Mike Martz",3,"aOC",3,"aOC",186,189.31,334,"LA","LA",1973,1994,1992,1994,3,1,1,1,1,0,1,0
"Chuck Noll","Bud Carson",6,"DC",6,"DC",193,199.75,342,"PIT","PIT",1969,1991,1972,1977,6,1,1,1,2,1,2,1
"Chuck Noll","John Fox",3,"aDC",3,"aDC",193,199.75,342,"PIT","PIT",1969,1991,1989,1991,3,1,1,1,2,0,2,0
"Chuck Noll","Rod Rust",1,"DC",1,"DC",193,199.75,342,"PIT","PIT",1969,1991,1989,1989,1,1,1,1,2,1,2,1
"Chuck Noll","Tony Dungy",8,"DC",5,"DC",193,199.75,342,"PIT","PIT",1969,1991,1981,1988,8,1,1,1,2,1,2,1
"Chuck Pagano","Bruce Arians",1,"OC",1,"OC",53,45.47,96,"IND","IND",2012,2017,2012,2012,1,1,0,1,1,1,1,1
"Clive Rush","John Mazur",2,"OC",2,"OC",5,6.52,21,"NE","NE",1969,1970,1969,1970,2,1,0,0,1,1,1,1
"Dan Devine","Bart Starr",1,"aOC",1,"aOC",25,27.82,56,"GB","GB",1971,1974,1972,1972,1,1,0,0,1,0,1,0
"Dan Devine","Hank Kuhlmann",4,"aSTC",3,"aSTC",25,27.82,56,"GB","GB",1971,1974,1971,1974,4,1,0,0,3,0,3,0
"Dan Henning","Gunther Cunningham",2,"aDC",2,"aDC",38,46.88,112,"ATL","LAC",1983,1991,1989,1990,2,1,0,0,2,0,2,0
"Dan Quinn","Kyle Shanahan",2,"OC",2,"OC",43,44.58,85,"ATL","ATL",2015,2020,2015,2016,2,1,1,1,1,1,1,1
"Dan Quinn","Matt LaFleur",2,"aOC",2,"aOC",43,44.58,85,"ATL","ATL",2015,2020,2015,2016,2,1,1,1,1,0,1,0
